Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
2025-07-01,PARK HOLME,5043,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,PETERBOROUGH,5422,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
2025-07-01,PLYMPTON,5038,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,2
2025-07-01,POORAKA,5095,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,PORT AUGUSTA,5700,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,2
2025-07-01,PORT AUGUSTA,5700,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
2025-07-01,PORT AUGUSTA,5700,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,PORT AUGUSTA,5700,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,PORT ELLIOT,5212,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,PORT LINCOLN,5606,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
2025-07-01,PORT LINCOLN,5606,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
2025-07-01,PORT LINCOLN,5606,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,PORT LINCOLN,5606,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,PORT LINCOLN,5606,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,PORT PIRIE,5540,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,PORT PIRIE,5540,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
2025-07-01,PORT PIRIE SOUTH,5540,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,PROSPECT,5082,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,PROSPECT,5082,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,PROSPECT,5082,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,2
2025-07-01,PUKATJA,0872,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,RENMARK,5341,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,RIDGEHAVEN,5097,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,SALISBURY,5108,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,SALISBURY,5108,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,2
2025-07-01,SALISBURY DOWNS,5108,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
